kor_name,eng_name,country,beer_category_1,beer_category_2,abv,ibu,thumbnail
라이언 스타우트,LION STOUT,SRI LANKA,DUNKEL,,8.8 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/114.jpeg
마쿠,MAKKU,SOUTH KOREA,ETC,,6.0 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/115.jpeg
마쿠 블루베리,MAKKU BLUEBERRY,SOUTH KOREA,ETC,FRUIT,6.0 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/116.jpeg
마쿠 망고,MAKKU MANGO,SOUTH KOREA,ETC,FRUIT,6.0 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/117.jpeg
미켈롭 울트라,MICHELOB ULTRA,UNITED STATES,LAGER,,4.2 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/118.jpeg
머피스 아이리쉬 스타우트,MURPHY’S IRISH STOUT,IRELAND,DUNKEL,,4.0 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/119.jpeg
노스 코스트 올드 라스푸틴,NORTH COAST OLD RASPUTIN RUSSIAN IMPERIAL STOUT,UNITED STATES,DUNKEL,,9.0 ,75,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/120.jpeg
파카 하드셀처 블랙 체리,PAKKA HARD SELTZER BLACK CHERRY,UNITED STATES,ETC,FRUIT,5.1 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/121.jpeg
파카 하드셀처 체리 라임,PAKKA HARD SELTZER CHERRY LIME,UNITED STATES,ETC,FRUIT,5.1 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/122.jpeg
파카 하드셀처 그레이프후루츠 텐저린,PAKKA HARD SELTZER GRAPEFRUIT TANGERINE,UNITED STATES,ETC,FRUIT,5.1 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/123.jpeg
파카 하드셀처 믹스 베리,PAKKA HARD SELTZER MIXED BERRY,UNITED STATES,ETC,FRUIT,5.1 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/124.jpeg
파타고니아 보헤미안 필스너,PATAGONIA BOHEMIAN PILSENER,ARGENTINA,PILSNER,,5.2 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/125.jpeg
파울라너 뮌헨 라거,PAULANER MUNICHI LAGER,SINGAPORE,LAGER,,4.7 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/126.jpeg
파울라너 바이스비어,PAULANER WEISSBIER,GERMANY,WEIZEN,,5.2 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/127.jpeg
파울라너 바이스비어 둔켈,PAULANER WEISSBIER DUNKEL,GERMANY,WEIZEN,DUNKEL,5.3 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/128.jpeg
페로니 나스트라즈로,PERONI NASTRO AZZURRO,ITALY,LAGER,,5.1 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/129.jpeg
필스너 우르켈,PILSMER URQUELL,CZECH REPUBLIC,PILSNER,,4.4 ,35,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/130.jpeg
에일의 정석,PLATINUM STANDARD OF ALE,SOUTH KOREA,ALE,,5.2 ,43,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/131.jpeg
리퍼비 인디아 페일 에일,REEPER B. INDIA PALE ALE,GERMANY,ALE,,5.0 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/132.jpeg
사무엘 아담스 보스턴 라거,SAMUEL ADAMS BOSTON LAGER,UNITED STATES,LAGER,,5.0 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/133.jpeg
산미구엘,SAN MIGUEL,PHILIPPINES,LAGER,,4.8 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/134.jpeg
산 미구엘 세르베자 블랑카,SAN MIGUEL CERVEZA BLANCA,THAILAND,WEIZEN,,5.4 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/135.jpeg
산미구엘 NAB,SAN MIGUEL NAB,PHILIPPINES,NON_ALCOHOLIC,,,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/136.jpeg
삿포로 프리미엄,SAPPORO PREMIUM,JAPAN,LAGER,,4.9 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/137.jpeg
쉐퍼 호퍼 그레이프후르트,SCHOEFFER HOFER GRAPEFRUIT,GERMANY,WEIZEN,FRUIT,2.5 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/138.jpeg
석빙고 라거,SEOKBINGO LAGER BEER,SOUTH KOREA,LAGER,,4.6 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/139.jpeg
서울숲 필스너,SEOUL FOREST PILSNER,SOUTH KOREA,PILSNER,,5.3 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/140.jpeg
싱하,SINGHA,THAILAND,LAGER,,5.0 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/141.jpeg
스마일리 맥주,SMILEY BEER,SOUTH KOREA,WEIZEN,,5.3 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/142.jpeg
스마일리 몰디브,SMILEY MALDIVES,SOUTH KOREA,FRUIT,,4.3 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/143.jpeg
써머스비 애플,SOMERSBY APPLE,DENMARK,ETC,FRUIT,4.5 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/144.jpeg
SSG 랜더스 라거,SSG LANDERS LAGER,SOUTH KOREA,LAGER,,4.5 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/145.jpeg
스텔라 아르투아,STELLA ARTOIS,BELGIUM,LAGER,,5.0 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/146.jpeg
슈티글 골드브로이,STIEGL GOLDBRAU,AUSTRIA,LAGER,,5.0 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/147.jpeg
슈티글 그레이프 프루트,STIEGL GRAPERUIT,AUSTRIA,FRUIT,,2.0 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/148.jpeg
슈티글 시트론 라들러,STIEGL RADLER ZITRONE,AUSTRIA,FRUIT,,2.0 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/149.jpeg
스톤 아이피에이,STONE IPA,UNITED STATES,ALE,,6.9 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/150.jpeg
산토리 프리미엄 몰츠,SUNTORY PREMIUM MALTS,JAPAN,PILSNER,,6.0 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/151.jpeg
슈퍼스타즈 페일 에일,SUPER STARS PALE ALE,SOUTH KOREA,ALE,,4.7 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/152.jpeg
따상주,TASANGJU,SOUTH KOREA,WEIZEN,,5.0 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/153.jpeg
템트 7,TEMPT NO 7,DENMARK,ETC,FRUIT,4.5 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/154.jpeg
